frame_id,track_id,center_x,center_y
1,1,862,464
1,2,350,519
1,3,860,202
1,4,735,631
1,5,402,592
1,6,490,579
1,7,384,145
1,8,790,589
1,9,726,93
1,10,874,224
2,1,863,462
2,2,350,521
2,3,859,201
2,4,735,630
2,5,406,594
2,6,496,581
2,7,383,145
2,8,794,588
2,9,721,89
2,10,872,225
3,1,863,460
3,2,354,526
3,3,858,202
3,4,734,630
3,5,409,596
3,6,498,581
3,7,383,146
3,8,794,588
3,9,729,96
3,10,871,225
4,1,863,458
4,2,357,528
4,3,858,201
4,4,734,630
4,5,411,597
4,6,500,582
4,7,383,144
4,8,795,588
4,9,734,99
4,10,872,225
5,1,863,458
5,2,357,528
5,3,858,201
5,4,734,630
5,5,411,597
5,6,500,582
5,7,383,144
5,8,795,588
5,9,733,99
5,10,872,225
6,1,862,454
6,2,360,532
6,3,858,201
6,4,735,630
6,5,413,599
6,6,506,583
6,7,382,146
6,8,797,587
6,9,736,100
6,10,871,224
7,1,862,452
7,2,363,535
7,3,858,200
7,4,734,631
7,5,414,600
7,6,510,584
7,7,382,145
7,8,799,586
7,9,738,102
7,10,873,224
8,1,863,449
8,2,366,538
8,3,856,199
8,4,736,630
8,5,415,601
8,6,514,587
8,7,382,146
8,8,801,584
8,9,740,103
8,10,871,227
9,1,863,446
9,2,369,543
9,3,857,199
9,4,736,630
9,5,416,601
9,6,517,590
9,7,381,146
9,8,801,584
9,9,742,104
9,10,872,226
10,1,864,445
10,2,371,546
10,3,856,199
10,4,736,630
10,5,416,601
10,6,520,592
10,7,382,146
10,8,803,582
10,9,749,110
10,10,873,225
11,1,864,445
11,2,371,546
11,3,856,199
11,4,736,630
11,5,417,601
11,6,520,592
11,7,382,146
11,8,803,582
11,9,749,110
11,10,873,225
12,1,865,444
12,2,373,548
12,3,855,199
12,4,736,630
12,5,416,601
12,6,523,593
12,7,382,146
12,8,804,582
12,9,745,107
12,10,874,225
13,1,866,443
13,2,374,551
13,3,855,198
13,4,736,629
13,5,416,602
13,6,526,595
13,7,383,145
13,8,805,581
13,9,754,112
13,10,874,223
14,1,866,440
14,2,375,552
14,3,855,198
14,4,735,629
14,5,416,601
14,6,528,597
14,7,384,147
14,8,805,580
14,9,755,112
14,10,874,223
15,1,867,435
15,2,375,552
15,3,854,198
15,4,734,628
15,5,417,601
15,6,530,598
15,7,380,143
15,8,809,575
15,9,758,114
15,10,874,221
16,1,868,432
16,2,376,552
16,3,853,195
16,4,734,628
16,5,418,600
16,6,534,600
16,7,378,143
16,8,810,575
16,9,760,115
16,10,873,224
17,1,868,432
17,2,376,552
17,3,853,196
17,4,734,628
17,5,417,600
17,6,533,600
17,7,378,143
17,8,810,575
17,9,759,115
17,10,873,224
18,1,869,428
18,2,376,552
18,3,851,195
18,4,734,628
18,5,418,598
18,6,536,601
18,7,375,142
18,8,810,574
18,9,761,115
18,10,873,222
19,1,870,425
19,2,376,552
19,3,848,195
19,4,735,628
19,5,417,597
19,6,539,604
19,7,373,145
19,8,811,573
19,9,762,116
19,10,872,221
20,1,871,420
20,2,377,553
20,3,847,193
20,4,733,628
20,5,415,597
20,6,540,606
20,7,373,147
20,8,812,571
20,9,764,118
20,10,872,217
21,1,871,418
21,2,377,552
21,3,846,190
21,4,732,628
21,5,413,595
21,6,542,608
21,7,371,151
21,8,812,570
21,9,765,118
21,10,872,215
22,1,870,414
22,2,377,555
22,3,844,189
22,4,733,627
22,5,412,593
22,6,543,610
22,7,369,153
22,8,813,569
22,9,765,120
22,10,873,213
23,1,870,414
23,2,377,555
23,3,844,189
23,4,733,627
23,5,412,594
23,6,543,610
23,7,369,153
23,8,813,568
23,9,764,120
23,10,873,213
24,1,870,410
24,2,378,554
24,3,840,186
24,4,731,628
24,5,411,591
24,6,547,612
24,7,365,157
24,8,813,568
24,9,766,120
24,10,871,207
25,1,872,407
25,2,379,556
25,3,837,185
25,4,731,627
25,5,411,591
25,6,548,616
25,7,363,161
25,8,813,568
25,9,768,120
25,10,871,206
26,1,872,405
26,2,379,557
26,3,835,183
26,4,731,627
26,5,411,589
26,6,549,619
26,7,361,165
26,8,813,568
26,9,769,121
26,10,871,205
27,1,873,403
27,2,381,560
27,3,833,182
27,4,731,626
27,5,412,589
27,6,549,621
27,7,357,168
27,8,814,567
27,9,772,123
27,10,871,203
