frame_id,track_id,center_x,center_y
1,1,583,410
1,2,779,472
1,3,569,229
1,4,672,640
1,5,306,291
1,6,797,366
1,7,348,277
1,8,339,302
1,9,710,368
1,10,614,609
2,1,585,412
2,2,780,472
2,3,570,228
2,4,672,639
2,5,305,293
2,6,795,356
2,7,347,278
2,8,338,300
2,9,709,363
2,10,614,608
3,1,585,413
3,2,780,472
3,3,570,228
3,4,672,639
3,5,305,292
3,6,795,356
3,7,348,278
3,8,338,300
3,9,709,363
3,10,614,608
4,1,587,414
4,2,780,474
4,3,571,229
4,4,674,639
4,5,304,297
4,6,793,348
4,7,347,278
4,8,337,298
4,9,708,359
4,10,613,608
5,1,589,414
5,2,781,473
5,3,571,229
5,4,674,639
5,5,304,299
5,6,791,341
5,7,347,279
5,8,336,296
5,9,707,355
5,10,614,608
6,1,590,416
6,2,781,473
6,3,572,229
6,4,675,638
6,5,304,301
6,6,788,334
6,7,347,281
6,8,335,294
6,9,705,351
6,10,614,608
7,1,591,417
7,2,782,472
7,3,572,228
7,4,676,637
7,5,303,302
7,6,787,328
7,7,348,282
7,8,334,293
7,9,704,347
7,10,615,608
8,1,592,420
8,2,782,472
8,3,573,227
8,4,676,637
8,5,303,304
8,6,784,322
8,7,348,283
8,8,333,291
8,9,700,344
8,10,614,608
9,1,593,420
9,2,782,472
9,3,573,228
9,4,676,637
9,5,303,304
9,6,784,322
9,7,348,284
9,8,333,291
9,9,700,343
9,10,614,608
10,1,595,424
10,2,782,472
10,3,573,227
10,4,676,637
10,5,303,305
10,6,782,315
10,7,350,284
10,8,332,289
10,9,698,340
10,10,615,607
11,1,600,426
11,2,783,473
11,3,574,227
11,4,677,637
11,5,302,308
11,6,781,310
11,7,331,288
11,8,353,287
11,9,695,336
11,10,615,607
12,1,603,427
12,2,783,473
12,3,575,227
12,4,678,637
12,5,302,309
12,6,778,302
12,7,329,284
12,8,353,289
12,9,693,333
12,10,616,607
13,1,604,429
13,2,783,474
13,3,575,226
13,4,678,637
13,5,302,311
13,6,778,297
13,7,329,279
13,8,356,293
13,9,691,332
13,10,615,606
14,1,608,432
14,2,783,473
14,3,576,226
14,4,679,636
14,5,302,311
14,6,778,292
14,7,329,277
14,8,360,298
14,9,689,329
14,10,615,606
15,1,608,432
15,2,783,473
15,3,576,225
15,4,679,636
15,5,302,311
15,6,778,292
15,7,329,277
15,8,360,298
15,9,689,329
15,10,615,607
16,1,611,433
16,2,783,475
16,3,575,226
16,4,680,636
16,5,302,312
16,6,778,286
16,7,330,276
16,8,363,304
16,9,686,326
16,10,615,606
17,1,616,434
17,2,784,475
17,3,577,224
17,4,680,636
17,5,301,313
17,6,779,282
17,7,329,274
17,8,366,310
17,9,685,324
17,10,615,606
18,1,618,435
18,2,784,476
18,3,578,224
18,4,681,635
18,5,300,314
18,6,778,276
18,7,327,271
18,8,368,314
18,9,684,322
18,10,614,606
19,1,621,439
19,2,784,476
19,3,580,221
19,4,681,635
19,5,300,316
19,6,780,272
19,7,327,268
19,8,370,317
19,9,683,321
19,10,614,605
20,1,625,440
20,2,784,477
20,3,582,218
20,4,682,635
20,5,299,319
20,6,781,267
20,7,328,266
20,8,372,320
20,9,682,320
20,10,613,605
21,1,625,440
21,2,784,476
21,3,582,218
21,4,682,635
21,5,299,318
21,6,782,267
21,7,328,265
21,8,371,321
21,9,682,321
21,10,613,605
22,1,628,442
22,2,785,477
22,3,582,215
22,4,682,635
22,5,298,320
22,6,784,264
22,7,329,264
22,8,374,325
22,9,682,321
22,10,614,605
23,1,633,443
23,2,786,478
23,3,583,213
23,4,682,634
23,5,298,320
23,6,785,261
23,7,329,265
23,8,376,329
23,9,682,320
23,10,614,605
24,1,637,445
24,2,785,479
24,3,583,208
24,4,683,633
24,5,297,320
24,6,788,257
24,7,330,264
24,8,377,332
24,9,682,320
24,10,614,604
25,1,639,446
25,2,786,481
25,3,584,206
25,4,683,634
25,5,297,322
25,6,791,253
25,7,331,263
25,8,380,335
25,9,682,320
25,10,614,604
26,1,642,448
26,2,785,482
26,3,585,203
26,4,683,634
26,5,295,324
26,6,794,249
26,7,330,263
26,8,381,338
26,9,681,320
26,10,614,603
27,1,642,448
27,2,786,482
27,3,585,204
27,4,683,634
27,5,295,324
27,6,794,249
27,7,330,264
27,8,381,338
27,9,681,320
27,10,614,603
28,1,645,449
28,2,787,484
28,3,586,201
28,4,684,634
28,5,295,324
28,6,797,247
28,7,330,263
28,8,382,343
28,9,680,320
28,10,614,602
29,1,649,450
29,2,786,484
29,3,586,198
29,4,684,634
29,5,295,325
29,6,799,245
29,7,329,263
29,8,385,347
29,9,680,319
29,10,614,602
30,1,653,451
30,2,786,485
30,3,586,193
30,4,685,633
30,5,294,325
30,6,802,242
30,7,329,262
30,8,387,348
30,9,680,319
30,10,614,602
31,1,654,452
31,2,787,486
31,3,585,190
31,4,685,633
31,5,294,326
31,6,804,240
31,7,328,263
31,8,389,351
31,9,679,318
31,10,613,602
32,1,656,453
32,2,787,487
32,3,586,188
32,4,686,632
32,5,294,326
32,6,806,238
32,7,329,263
32,8,390,354
32,9,680,318
32,10,612,601
33,1,656,453
33,2,787,487
33,3,586,188
33,4,686,632
33,5,294,326
33,6,806,237
33,7,329,262
33,8,390,354
33,9,680,319
33,10,612,601
34,1,658,454
34,2,787,488
34,3,587,185
34,4,686,632
34,5,294,326
34,6,809,236
34,7,329,262
34,8,393,358
34,9,679,318
34,10,612,602
35,1,660,455
35,2,788,485
35,3,588,182
35,4,687,632
35,5,294,326
35,6,811,235
35,7,329,261
35,8,395,362
35,9,679,319
35,10,612,601
36,1,662,456
36,2,787,484
36,3,588,179
36,4,687,632
36,5,294,326
36,6,814,234
36,7,330,261
36,8,398,365
36,9,679,319
36,10,612,601
37,1,664,457
37,2,785,484
37,3,588,176
37,4,688,631
37,5,294,327
37,6,816,232
37,7,333,260
37,8,400,366
37,9,680,319
37,10,612,602
38,1,666,458
38,2,781,482
38,3,587,173
38,4,688,631
38,5,293,328
38,6,818,231
38,7,333,260
38,8,402,369
38,9,679,320
38,10,613,601
